供应商ID,材料分类,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024,W025,W026,W027,W028,W029,W030,W031,W032,W033,W034,W035,W036,W037,W038,W039,W040,W041,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W081,W082,W083,W084,W085,W086,W087,W088,W089,W090,W091,W092,W093,W094,W095,W096,W097,W098,W099,W100,W101,W102,W103,W104,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,W149,W150,W151,W152,W153,W154,W155,W156,W157,W158,W159,W160,W161,W162,W163,W164,W165,W166,W167,W168,W169,W170,W171,W172,W173,W174,W175,W176,W177,W178,W179,W180,W181,W182,W183,W184,W185,W186,W187,W188,W189,W190,W191,W192,W193,W194,W195,W196,W197,W198,W199,W200,W201,W202,W203,W204,W205,W206,W207,W208,W209,W210,W211,W212,W213,W214,W215,W216,W217,W218,W219,W220,W221,W222,W223,W224,W225,W226,W227,W228,W229,W230,W231,W232,W233,W234,W235,W236,W237,W238,W239,W240
S093,B,555.941064,7869.252638,831.622272,629.778012,760.014505,701.985956,614.80074,635.832096,735.813056,729.81458,675.885756,684.8767,801.881304,861.963796,901.933252,1081.817142,947.679576,778.967282,753.944204,711.14552,712.538689,709.99219,735.04688,622.74894,597.77205,7584.073156,743.638416,679.367123,852.448109,782.33885,675.74988,642.87783,894.76372,788.85798,747.92894,736.812802,875.888748,797.890674,881.962956,722.931315,795.764384,793.915836,781.917108,565.964342,709.99219,714.96997,767.991552,758.984061,797.225142,7166.51538,879.65592,723.223622,912.704188,810.075925,725.764776,637.811152,823.721488,792.832677,754.88071,781.884264,898.857958,810.862941,895.867392,852.936878,948.919335,802.957441,812.905692,807.940208,889.96262,853.964132,1053.318062,906.525004,803.739504,6505.045368,836.458461,652.510736,803.957525,889.817689,684.7397,659.84688,805.85492,706.925058,690.854199,658.930146,776.933955,748.944574,775.93404,704.985195,864.96367,731.976576,790.991299,587.993532,621.986938,615.987064,712.992157,717.8641,696.121682,7240.167987,1061.655912,701.900992,879.43064,850.85132,798.569339,796.756118,883.83204,714.826255,763.879288,743.7954,755.93574,778.967282,830.929365,702.895956,823.756096,655.94424,750.912884,723.93122,691.94118,587.968836,592.987547,725.969508,816.973856,7884.834415,849.8385,733.437984,979.729605,817.32106,780.494693,725.386787,831.287808,805.744498,744.763835,637.811152,747.85788,729.94598,849.98215,890.924265,732.937695,670.985909,723.992036,632.960121,721.992058,730.991959,736.991893,663.41259,777.965815,6413.56192,927.82368,741.07563,908.64051,796.332573,738.49114,720.831082,872.974798,846.194503,762.226318,692.61192,727.907544,681.94203,854.81019,738.960833,728.954073,602.968041,596.974926,541.988618,628.979872,580.888448,714.537395,719.09128,688.48118,5553.121992,833.480418,750.56764,925.400878,811.46074,777.244562,711.66669,882.142607,780.356456,789.8578,693.845932,726.946202,738.937185,950.940087,817.939468,704.955585,685.978048,732.930365,665.986014,638.792964,617.967246,737.760888,618.9491,683.557452,5488.92448,797.637708,674.599358,816.471401,770.111895,742.87053,670.409376,717.647561,727.369552,741.759592,621.88804,684.941775,627.979904,752.944278,680.957097,758.968122,679.97144,715.969928,707.977344,416.995413,634.959995,730.976608,687.985552,773.248446,6202.573845,791.743392,702.714715,821.468166,846.12189,772.249417,698.8016,813.736264,707.595732,778.744488,687.840384,785.883672,758.943834,780.942206,659.96502,803.957388,702.992267,667.964596,638.979552,724.9768,631.68792,754.022275,693.26756
S094,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.998986,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999905,0,0,0,2.999874,0.999905,0,0,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99945,0,0,4.999575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999575,1.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998986,0,0,0.999915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999176,0,0.999778,3.999704,0.999915,0,0,0,0,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S095,C,0.999894,0,2.998638,0,1.99741,0,2.999028,0,4.99873,0,2.999493,4.9991,3.999408,0,6.999482,0,3.998648,0,4.99963,0,2.998059,0,2.996115,0,1.9959,0.999746,3.998056,0,2.998059,0,5.99778,0,2.999208,0,1.99981,0,4.999365,0,4.99979,0,2.999112,0,1.999788,0,2.999967,0,5.999934,0,1.998058,0,5.997654,0,3.998704,0,4.99838,0,1.999324,0,2.999526,0,2.999526,0,6.998964,0,4.999575,1.999894,3.999536,0,3.999832,0,4.996765,0,1.999352,0,2.998059,0,3.99482,0,1.99924,0,1.99964,2.999682,1.999578,0,2.999745,0.999926,2.999745,0.999979,4.99979,0.999968,3.999956,0,1.999958,0,2.999967,0,1.994618,0,1.999352,0,2.998059,0.989362,0.999461,0,5.99886,4.998785,4.99921,0.999725,0.999915,0,0.999915,4.99926,5.998224,0,0.999884,0,0,0,2.999937,0,4.99984,0,4.99905,0,4.993525,0,1.998706,0,3.996576,0.999683,0.999683,0,1.99962,0,5.999874,0,3.99966,0,2.999967,0.999937,5.999934,0,2.999967,0,1.99223,0,4.99905,0,1.99482,0,1.995922,0,1.997654,0,0.998986,0,2.999619,0,3.999112,0,0.999937,0,0,0.999979,5.999808,0,0,0,2.984745,0,4.996885,0,1.998706,0,2.997087,0,0.999029,0,6.99874,0,1.999852,0,4.999685,0,1.999874,0,2.999715,0,0,0,2.999028,0,2.998059,0,3.998184,0,6.995471,0,1.99161,0,3.992476,0,2.999028,0,6.999405,0,0,0,1.999916,0,1.999916,0,1.999978,0,2.999904,0,5.994174,0,3.998704,0,1.998706,0,5.994174,0,0,0,0.999672,0,0.999852,0,4.99963,0,5.999682,0,5.999682,0,3.999872,0,3.99482,0
S096,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999662,0.999662,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99949,0.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.997147,0,0,0,0.999915,0.999778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999176,0,1.999556,1.999852,0.999915,0,0,0,0,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S097,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.978127,0,0,30.997706,20.999559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S098,C,1.999788,0,0.999546,0,0,0,1.999352,0,5.998476,0,5.998986,2.99946,2.999556,0,10.999186,0,4.99831,0,3.999704,0,1.998706,0,0.998705,1.98644,0.99795,0,0.999514,0,3.997412,0.99661,2.99889,0,1.999472,0,1.99981,0,3.999492,0,3.999832,0,1.999408,0,0,0,0.999989,0,2.999967,0,1.998058,0.999514,3.998436,0,2.999028,0,1.999352,0,3.998648,0,3.999368,0,5.999052,0,3.999408,0,2.999745,0,3.999536,0,3.999832,0,6.995471,0,1.999352,0,0.999353,0,2.996115,0,1.99924,0,2.99946,0,7.998312,0,6.999405,0,2.999745,0.999979,2.999874,1.999936,5.999934,0,0.999979,0,0.999989,0,1.994618,0,0.999676,0,3.997412,0,1.998922,0,2.99943,0.999757,2.999526,1.99945,3.99966,0,1.99983,7.998816,5.998224,0,0.999884,0,0.999915,0,2.999937,0,3.999872,0,0.99981,0,2.996115,0,0.999353,0,1.998288,0,1.999366,1.999408,4.99905,0,9.99979,0,1.99983,0,0.999989,0.999937,5.999934,0,3.999956,0,1.99223,0,1.99962,0,3.98964,0,6.985727,0,0.998827,0,0,0,2.999619,0,3.999112,0,0.999937,0,0.999958,0,2.999904,0,4.996765,0,2.984745,0,1.998754,0,0.999353,0,0,0,6.993203,0,5.99892,0,0.999926,0,4.999685,0,1.999874,0,1.99981,0,2.999028,0.999947,0,0,2.998059,0,0.999546,0,3.997412,0,6.970635,0,0,0,0.999676,0,0.999915,0,4.99963,0,2.999874,0,1.999916,0,0.999989,0,4.99984,0,1.998058,0,0.999676,0,2.998059,0,3.996116,0,0.999676,0,2.999016,0,4.99926,0,6.999482,0,1.999894,0,0.999947,0,0.999968,0,1.99741,0
S099,A,353.962476,0,0.999546,544.61935,3.99482,6.950356,3.998704,4.99868,11.996952,4.99873,7.998648,8.99838,8.998668,3.999832,12.999038,5.998986,7.997296,3.999832,4.99963,0,9.99353,1.999978,4.993525,5.95932,405.1677,0,0.999514,647.537331,4.996765,7.97288,8.99667,8.99829,13.996304,0.99982,8.999145,5.998476,10.998603,4.999315,8.999622,5.99943,4.99852,2.999682,10.998834,5.999622,2.999967,2.999874,10.999879,4.999895,631.386328,0,6.997263,596.585286,4.99838,5.94915,7.997408,9.99704,8.996958,2.999367,1.999684,4.99926,9.99842,2.999493,5.999112,1.999852,9.99915,1.999894,7.999072,1.999852,5.999748,1.999916,16.989001,3.971632,487.841888,0,3.997412,440.643683,4.993525,10.863479,4.9981,2.999304,14.9973,5.999364,6.998523,0.999894,8.999235,4.99963,3.99966,8.999811,14.99937,5.999808,9.99989,0.999989,3.999916,0,4.999945,2.974575,354.044695,0,2.999028,435.730672,0.999353,5.936172,9.99461,8.997246,7.99848,9.99757,6.998894,3.9989,2.999745,3.999832,4.999575,8.998668,7.997632,2.999745,5.999304,0.999905,5.99949,3.999788,1.999958,3.999832,554.98224,0.999979,3.99924,674.643363,4.993525,3.986932,4.996765,5.986686,3.996576,1.999366,7.997464,2.999112,4.99905,5.999556,3.999916,1.99983,7.99932,2.999937,8.999901,1.999874,10.999879,3.999956,6.999923,3.98446,442.27506,0,2.99943,418.9122,2.99223,5.965038,8.981649,2.995143,9.98827,2.997147,7.991888,2.99832,2.999619,0.999915,3.999112,2.999841,3.999748,4.999735,7.999664,0.999979,2.999904,0.999808,3.997412,0.99322,330.31178,0,3.997508,712.051669,1.998706,2.97966,6.993203,7.98504,13.986406,1.998352,7.99856,1.999556,5.999556,3.99966,6.999559,1.999852,6.999559,2.999904,7.99924,3.999916,7.997408,2.999841,7.997408,0.998305,487.684264,0,2.998638,404.560324,8.994177,4.955675,8.962245,5.985798,7.984952,4.99567,8.997084,3.99928,3.99966,1.999936,5.999556,0.999937,6.999706,3.999832,3.999832,1.999936,3.999956,5.999622,7.999744,0.999979,465.547514,0,3.998704,309.23412,4.996765,7.97288,5.994174,7.986304,15.994816,4.997145,5.998032,4.99884,7.998816,7.999408,8.999334,4.999735,11.999364,4.999945,5.999682,3.999872,7.999744,2.97966,3.99482,4.9661
S100,A,2.999682,0,1.999092,0,0.998705,0,0,0,3.998984,0,3.999324,2.99946,4.99926,0,3.999704,0,2.998986,0,2.999778,0,0.999353,0,2.996115,0,3.9918,0,1.999028,0,4.996765,0,3.99852,0,2.999208,0,0.999905,0,1.999746,0,1.999916,0,1.999408,0,2.999682,0,1.999978,0,2.999967,0,1.998058,0,3.998436,0,1.999352,0,4.99838,0,1.999324,0,0,0,5.999052,0,1.999704,0,3.99966,0,2.999652,0,0,0,5.996118,0,2.999028,0,4.996765,0,3.99482,0,1.99924,0,2.99946,0.999894,3.999156,0,4.999575,0,6.999405,3.999916,8.999622,1.999936,3.999956,0,1.999958,0,0.999989,0,1.994618,0,0.999676,0,4.996765,0,2.998383,0,2.99943,0.999757,2.999526,1.99945,2.999745,0,2.999745,2.999556,3.998816,0,2.999652,0,1.99983,0,4.999895,0,5.999808,0,2.99943,0,8.988345,0,4.996765,0,0.999144,0,2.999049,0,1.99962,0,7.999832,0,2.999745,0,1.999978,0,0.999989,0,0.999989,0,4.980575,0,5.99886,0,0,0,1.995922,0,2.996481,0,2.996958,0,0,0,1.999556,0,2.999811,0,0.999958,0,3.999872,0,1.998706,0,0.994915,0,7.995016,0,2.998059,0,1.998058,0,4.995145,0,1.99964,0,3.999704,0,5.999622,0,3.999748,0,1.99981,0,0,0,1.999352,0,2.998059,0,3.998184,0,3.997412,0,2.987415,0,1.996238,0,0.999676,0,3.99966,0,4.99963,0,1.999916,0,2.999874,0,0.999989,0,1.999936,0,1.998058,0,0.999676,0,6.995471,0,4.995145,0,3.998704,0,0.999672,0,4.99926,0,3.999704,0,6.999629,0,2.999841,0,3.999872,0,2.996115,0
S101,A,0,0,0,0,0,0,0,0,0,0,0.999831,2.99946,0,0,0,1.999662,1.999324,1.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998312,3.999576,0,1.999852,0,0,2.999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99945,0,0.999958,7.99932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99983,2.999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.996196,0.998986,0.99944,8.998857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99928,0.999778,5.999556,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S102,B,0.999894,0,4.99773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99322,0,0,0,0,0,0,5.997084,0,0,0,0,0,0.999736,0,0.999905,0,0.999873,0.999863,0,0,0,0,0,0,0,0.999958,0,0,0,0,5.997654,0.989362,0,0,0,0,0,0.999789,0,0,0.999842,0,0,0,0,0,0,0,0,0,0.999353,0,0.999676,0,9.99353,0,0,0,0,0.999768,0,0,0,0.999894,0,0,0,0,0,0,0,0,0,0,0,0,0.997309,0,6.997732,0.985816,0,0,0,0,0,0.999757,0,0.999725,0.999915,0,0.999915,0,0,0,0,0,0,0.999947,0,0,0,0.999979,3.99924,0,0,0,0,0.997781,0.999144,0,0,0.999704,0,0,0,0,0,0,0.999989,0,0.999989,0,0,0.996115,0.996115,0,8.99829,0.99741,0,0,0,0.998381,0,0.999049,0,0,0,0,0,0,0.999937,0.999947,0,0,0.999968,0,0,0,0,0,9.99377,0.987589,0,0,0,0.99813,0,0,0,0,0.999926,0,0,0,0,0,0,0,0.999676,0,0,0,0,0,4.99773,0.996454,0,0,0,0,0.998119,0.999134,0,0,0,0,0,0.999937,0.999958,0,0,0,0,0,0.999968,0.999979,0,0,9.99676,0,0,0,0,0,0,0,0,0.999768,0,0,0,0,0,0.999989,0.999947,0,0.999968,0,0.998705,0
S103,B,0,0,0,0,0,0,0,0,0,0,0,1.99964,0,0,0,0,1.999324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999873,0,3.999832,0.999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999894,0,1.999852,0,1.999958,2.999874,0,0,0.999989,0.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99945,0,0,7.99932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.999575,1.999958,0,0,0.999989,0,0,0,0,0,0,0,0,0,0,0,0,0.999049,0.998986,0,0,0,0.999778,0,0,0,0,0,0,0,0,0,0.994915,0,0,0,0,0,0,0,0.999029,0.999176,3.99928,0,6.999482,2.999745,0,0,0,0,1.99981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S104,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.999152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99982,0,0,0,0,0.999926,2.999811,0,0,0,0,0,0.999676,1.99661,0.999353,0,1.999092,1.992908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S105,B,0,0,0,0,0,0,0,0,0,0,0,0.99982,0,0,0,1.999662,1.999324,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999905,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999725,0,0,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99966,4.999895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999778,3.999704,0,0,0,0,0,1.99981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S106,A,0,0,0,0,0,0,0,0,0,8.997714,0.999831,0,0,0,0,0.999831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999894,0,0,0,0,0,0,0,0,0,0,0,13.999706,23.999736,27.7627,3.989236,0,10.996436,15.773056,3.997412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999916,0.999968,0,3.99924,0.996519,0,0,0,0.997781,0,0.999683,0,0,0,0,0,0,0,0,0,0,0.999989,0,0,0,0,0,0.99981,0,0,0,0,0,0,0,0,0.99944,0,0,0,0,0,0,0,0,0,0.999808,2.998059,0.99322,0,0,0,0,0,0,0,0.99813,0,0,0.99982,3.999112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S107,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999831,2.998986,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999746,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99947,0,0.999926,0,3.999916,1.999916,1.999936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999514,0,0.999725,0,0,1.99983,0,0,1.99983,0,0,0,0.999947,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999704,0,0,0,0.999915,2.999745,2.999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.994294,0,0,0,0,1.999556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999029,4.99588,3.99928,0,4.99963,1.99983,1.999874,0,0,0,2.999715,0.999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S108,A,0.999894,14.99667,13.993644,15.843472,27.96374,21.843976,29.99028,27.992608,27.992888,31.991872,24.995775,29.9946,19.99704,21.999076,16.998742,30.994761,26.990874,19.99916,33.997484,23.83728,29.98059,32.999637,31.95856,25.82372,27.9426,21.994412,31.984448,32.824473,29.98059,33.88474,27.98964,28.99449,30.991816,25.99532,23.99772,16.995682,22.997079,37.994794,34.99853,30.997055,30.990824,20.997774,24.99735,13.999118,17.999802,24.99895,33.999626,31.999328,32.967957,32.983962,26.989443,24.73405,29.99028,23.7966,28.990604,20.993784,29.98986,19.99578,23.996208,27.995856,28.995418,24.995775,29.99556,34.99741,33.99711,27.998516,26.996868,26.998002,22.999034,18.999202,29.98059,28.794332,30.989956,30.985926,35.976708,34.813835,42.944315,30.615259,25.99012,15.996288,20.99622,16.998198,26.994303,22.997562,22.998045,28.997854,28.997535,25.999454,17.999244,21.999296,20.999769,20.999769,16.999643,12.999727,15.999824,15.8644,13.962326,22.991007,31.989632,19.71632,31.979296,36.606394,27.984908,33.989596,29.9943,36.991009,23.996208,25.99285,23.99796,29.99874,27.99762,23.996448,22.993192,20.998215,22.997332,14.998575,15.99864,22.998781,18.999601,24.99895,37.998784,25.999454,15.99696,21.923418,37.95079,37.875854,27.981884,26.940087,18.983736,20.993343,16.994611,23.992896,23.99544,26.998002,22.999517,22.998045,23.99796,23.999496,20.999769,22.998551,21.999758,40.999549,113.998746,38.848485,21.91453,21.99164,25.99506,28.92489,25.93266,36.784401,25.946986,25.957906,21.974194,23.977176,26.972622,59.9664,34.995555,24.997875,77.982684,37.997986,21.998614,24.998675,23.998992,19.99958,21.999296,20.995968,24.983825,19.8644,22.883045,25.986532,22.985671,32.590437,31.979296,25.82372,29.97087,28.94577,31.968928,19.98352,23.99568,19.99556,21.998372,21.99813,22.998551,30.997706,26.998299,23.999232,28.997245,19.99958,31.989632,28.998463,19.99352,21.96271,24.983825,22.98712,23.989104,32.882982,25.983178,26.760645,27.88254,20.950293,23.954856,11.989608,21.992872,27.99496,15.99864,13.999552,23.998224,22.998551,86.996346,19.99916,28.998782,26.999136,9.99989,22.998551,32.998944,26.999433,18.981551,18.992571,25.991576,27.75178,24.983825,44.84745,22.977667,23.958912,27.990928,28.983441,33.988848,19.99536,23.996448,23.998224,32.997558,38.997933,36.998039,42.999527,23.998728,30.999008,26.999136,28.80338,28.962445,20.85762
S109,B,0,0,0,0,0,0,0,0,0,0,0,0,0.999852,0,0,0.999831,3.998648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.999682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99949,2.999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998098,0.998986,0,0,0,0.999778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999556,2.999778,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S110,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999958,1.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9989,0,0,1.99983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.999405,3.999916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.998098,0.998986,5.99664,5.999238,0,0,0,0.999937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99928,0,1.999852,0.999915,0,0,0,0,3.99962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
